provincia,positivi
Milano,21490
Torino,14560
Brescia,13620
Bergamo,11791
Cremona,6250
Roma,5250
Genova,5095
Verona,4946
Pavia,4801
Bologna,4784
Piacenza,4375
Trento,4297
Padova,3900
Modena,3823
Alessandria,3732
Como,3504
Firenze,3322
Parma,3315
Lodi,3277
Mantova,3251
Varese,3196
Vicenza,2773
Cuneo,2646
Treviso,2609
Venezia,2599
Bolzano,2572
Napoli,2536
Lecco,2536
Novara,2481
Rimini,2074
Ancona,1837
Asti,1685
Forlì-Cesena,1680
Pescara,1448
Imperia,1429
Bari,1420
Savona,1413
Lucca,1329
Trieste,1322
Sondrio,1288
Vercelli,1200
Aosta,1158
Belluno,1148
Foggia,1116
Verbano-Cusio-Ossola,1093
Macerata,1068
Catania,1046
Biella,1015
Ravenna,999
Perugia,994
Ferrara,977
Udine,970
La Spezia,891
Pisa,868
Sassari,866
Chieti,778
Salerno,667
Arezzo,665
Pistoia,652
Pordenone,651
Teramo,645
Brindisi,605
Frosinone,579
Messina,557
Palermo,544
Prato,539
Livorno,535
Latina,511
Lecce,505
Avellino,503
Cosenza,464
Fermo,455
Rovigo,433
Caserta,431
Siena,427
Enna,421
Grosseto,421
Viterbo,409
Terni,365
Rieti,333
Campobasso,307
Ascoli Piceno,288
Taranto,271
Cagliari,245
L'Aquila,244
Siracusa,239
Catanzaro,211
Matera,206
Potenza,197
Gorizia,195
Benevento,190
Caltanissetta,162
Trapani,139
Agrigento,137
Crotone,118
Sud Sardegna,97
Ragusa,94
Nuoro,81
Vibo Valentia,76
Oristano,57
Isernia,57
