regione,deceduti_totali_fase2,positivi_totali_fase2,data
Lombardia,2226,14389,2020-06-15
Piemonte,860,3631,2020-06-15
Emilia-Romagna,565,2068,2020-06-15
Veneto,462,902,2020-06-15
Liguria,316,1528,2020-06-15
Lazio,303,1149,2020-06-15
Toscana,216,625,2020-06-15
Abruzzo,126,283,2020-06-15
Puglia,110,372,2020-06-15
Marche,66,443,2020-06-15
Campania,66,129,2020-06-15
Friuli Venezia Giulia,46,224,2020-06-15
Sicilia,38,218,2020-06-15
P.A. Trento,36,201,2020-06-15
Sardegna,13,44,2020-06-15
P.A. Bolzano,11,75,2020-06-15
Calabria,9,48,2020-06-15
Umbria,9,42,2020-06-15
Valle d'Aosta,6,49,2020-06-15
Basilicata,2,15,2020-06-15
Molise,1,138,2020-06-15
